datetime,Count
2015-01-01,56437
2015-01-02,39189
2015-01-03,58449
2015-01-04,40798
2015-01-05,42752
2015-01-06,52426
2015-01-07,62102
2015-01-08,71413
2015-01-09,70296
2015-01-10,78484
2015-01-11,57026
2015-01-12,57646
2015-01-13,63499
2015-01-14,63329
2015-01-15,66729
2015-01-16,72480
2015-01-17,73363
2015-01-18,72473
2015-01-19,45755
2015-01-20,54772
2015-01-21,59147
2015-01-22,65602
2015-01-23,71819
2015-01-24,80709
2015-01-25,57895
2015-01-26,43395
2015-01-27,25244
2015-01-28,60446
2015-01-29,68994
2015-01-30,83723
2015-01-31,92257
2015-02-01,76910
2015-02-02,68980
2015-02-03,70188
2015-02-04,66835
2015-02-05,80913
2015-02-06,85940
2015-02-07,81157
2015-02-08,63000
2015-02-09,61956
2015-02-10,64766
2015-02-11,72470
2015-02-12,83234
2015-02-13,98024
2015-02-14,100345
2015-02-15,89401
2015-02-16,72098
2015-02-17,73051
2015-02-18,72243
2015-02-19,88757
2015-02-20,100915
2015-02-21,98380
2015-02-22,66440
2015-02-23,71217
2015-02-24,79115
2015-02-25,74691
2015-02-26,83568
2015-02-27,88806
2015-02-28,88181
